,Brand,Food,Food type,"Arsenic (total, ppb)","Arsenic (inorganic, ppb)",Lead (ppb),Cadmium (ppb),"Mercury (total, ppb)",Metro area where purchased,Retailer
0,Beech-Nut,"Beech-Nut Rice Single Grain Baby Cereal - Stage 1, from about 4 months",Cereal-rice,117,86,3.5,5.4,0.582,"Charlottesville, VA",Wegmans
1,BioKinetics,BioKinetics BioKinetics Brown Rice Organic Sprouted Whole Grain Baby Cereal,Cereal-rice,353,144,3.1 *,31.7,2.32,"Washington, DC",amazon.com
2,Earth's Best,Earth's Best Whole Grain Rice Cereal,Cereal-rice,138,113,22.5,14.7,2.41,"San Diego, CA",99 Cents Only Stores
3,Earth's Best,Earth's Best Whole Grain Rice Cereal,Cereal-rice,126,107,17.8,13.4,2.19,"Portland, ME",Hannaford
4,Gerber,Gerber Rice Single Grain Cereal,Cereal-rice,106,74,3.9,11.1,1.79,"Gambell, AK",ANICA Native Store
5,Healthy Times,Healthy Times Organic Brown Rice Cereal - 4+ months,Cereal-rice,153,133,67.4,12.1,1.53,"Washington, DC",amazon.com
6,Kitchdee Organic,Kitchdee Organic Baby Cereal Rice and Lentil - 6+ months Infant cereal: multi- and single non-rice grain,Cereal-rice,79.3,78,10.9,13.1,4.06,"Washington, DC",amazon.com
7,Gerber,Gerber MultiGrain Cereal - Sitter 2nd Foods ,Cereal-mixedandmulti-grain,37,31,5.3,26.2,0.367 *,"Detroit, MI",Meijer
8,HappyBABY,HappyBABY Oats & Quinoa Baby Cereal Organic Whole Grains with Iron -  Sitting baby,Cereal-mixedandmulti-grain,10.2,--,0.9 *,12.4,< 0.14,"Minneapolis, MN",Target
9,Beech-Nut,"Beech-Nut Oatmeal Whole Grain Baby Cereal - Stage 1, from about 4 months",Cereal-oatmeal,23.8,--,2.2,13,< 0.139,"Portland, OR",Fred Meyer
10,Earth's Best,Earth's Best Whole Grain Oatmeal Cereal,Cereal-oatmeal,29.5,27,2 *,20.1,< 0.277,"Portland, ME",Hannaford
11,Gerber,Gerber Oatmeal Single Grain Cereal,Cereal-oatmeal,26.9,--,3 *,13,< 0.281,"Washington, DC",Safeway
12,HappyBABY,"HappyBABY Oatmeal Baby Cereal, Clearly Crafted - Organic Whole Grains  - for sitting baby",Cereal-oatmeal,6.3 *,--,< 0.5,10,< 0.14,"Albany, NY",buybuyBABY
13,Harvest Hill,"Harvest Hill Instant Oatmeal, Maple & Brown Sugar",Cereal-oatmeal,13.5,--,8.1,5.8,< 0.14,"Houston, TX",Dollar Tree
14,Cream of Wheat,Cream of Wheat Cream of Wheat Instant Original Flavor ,Cereal-othersingle-grain,19.5,--,21.8,36.7,< 0.14,"San Diego, CA",99 Cents Only Stores
15,Gerber,Gerber Barley Single Grain Cereal-  Supported Sitter 1st Foods,Cereal-othersingle-grain,10.6 *,--,3 *,13.7,< 0.279,"Detroit, MI",Meijer
16,Gerber,Gerber Whole Wheat Whole Grain Cereal - Sitter 2nd Foods ,Cereal-othersingle-grain,40.6,39,5.5,50.8,< 0.14,"Cincinnati, OH",Kroger
17,NurturMe,NurturMe Organic Quinoa Cereals - Quinoa + Sweet Potato + Raisin Infant formula,Cereal-othersingle-grain,35.9,26,39.8,20.3,0.389 *,"San Diego, CA",99 Cents Only Stores
18,365 organic(Whole Foods),365 organic (Whole Organic Milk Based Powder Infant Formula with Foods) Iron,Formula,4.1 *,--,2.7,0.7 *,< 0.139,"Boulder, CO",Whole Foods Market
19,Baby's Only Organic,Baby's Only Organic Organic Non-GMO Dairy Toddler Formula,Formula,3.8 *,--,1.6 *,< 0.5,< 0.139,"Boulder, CO",Whole Foods Market
20,Earth's Best,Earth's Best Organic Sensitivity - DHR/ARA Infant Formula with Iron Organic Milk-Based Powder,Formula,< 4.4,--,1.6 *,1.4 *,< 0.278,"Portland, ME",Hannaford
21,Enfamil,"Enfamil ProSobee Soy Infant Formula, Milk-Free Lactose- Free Powder with Iron",Formula,6.2 *,--,7.8,6.9,< 0.14,"Columbia, SC",Publix
22,Enfamil,Enfamil Infant - Infant Formula Milk-Based with Iron - 0-12 months,Formula,< 2.2,--,2,0.7 *,< 0.138,"Charlottesville, VA",Wegmans
